,Text
125,'Haan baby.. mujhe tu day one se pasand thi.. \n\nDay one se? \n\nHaan jab woh pink colour ki dress pehni thi.. \n\nWoh pehla din nahi tha baby.. \n\n*smiles knowingly* \n\nTeja iss pink dress mein aap bohot moti lag rahi hai.. \n\nRULA DETI HAI X TEJRAN'
126,'We must have bumper voting for @myogiadityanath today.\nModiji will handle Ukraine. \nÀap Vote daliye. https://t.co/6tEoIZ2Frc'
127,I feel like I don't know Angreji anymore\nI can't form sentences\nMy brain has already gone to sleep\nIts my heart thats keeping me awake\n\nI know this doesn't make sense but @kkundrra aap feeling samjhre ho?\n\nRULA DETI HAI X TEJRAN
128,'@sakshichoudhary Toh aap btayengi ki rap kis prr gana chiye kis prr nhi apse permission lega kya 🤣🤣'
129,'@Nicolly_AAP Pode me chamaaaa'
130,'@Rohit13236011 Are chicha! 😂\nAap Ukraine ke Defense minister toh nhi na?'
131,'@tiaa345 @Swadhinta_7 Aap bhi chalo maine abhi bulawa bheja hai!!!\n\nRULA DETI HAI X TEJRAN'
132,'@SalmanXDevil @RebelKingSnow oh ab dekha..aap toh salman fan ho..🧐fir bhi samajh nahi aa raha aapko ki pushpa itni bhi koi masterpeice nahi hai..aage ye ssrians salman upcoming movies ko bhi boycott karenge aur 1 rate karenge tab shayad samajh aa jaye'
133,'@AzharMahmood11 Bowling hamasha masla rahi ha aap ki tensions achi karna ara khayal sa\nStirling\nHales\nShadab\nZeeshan\nFaheem\nDawson\nAsif\nAzam \n munro is too old tu use ki jaga acha batsman lao bowling unit sara change karo ha wasim aur hassan pa nazar rakhna agar ya sudhar gae to'
134,'@stfulaiba @umama_fatima18 aap tou ho gaye hain🤣🤣🤣'
135,'@Aishu_Feels Thats true....lekin tweet karne se thodi cheeze theek ho jaati hai....\n\nTalk to ur frnds...close once...\n\nKabhi bhi apne prbs kisi ko mat batao 80% ko farak nhi padta...20% ko maza aata hai ki aap pareshaan ho...\n\nSry i u felt bad...but this is the realiyu'
136,'@HeyGuday Aap k pass itna time hota hai🤨'
137,'@khanubyasa Aur phir aap bhi chordo 🤣👍🏿'
138,'@hahahasonn Mubarak ho hassan
139,'@Wasim2point0 Man’s chillin init\n\nالحمد لله\n\nAap sunao'
140,'Laksar’s AAP candidate files complaint against BSP rival for circulating ‘objectionable’ video about him https://t.co/UZDlritEi1'
141,'@AamAadmiParty Paid to particular community just to appese them \nSelective politics shame on u'
142,'@MathewCongress @BollywoodKhabar @ANI Mere Mathew chachaji
143,'@thewire_in Han aur aap sirf election me busy rehna'
144,'@Haqq_Aysha و عليكم السلام \n\nالحمد لله \nBa khair o aafiyat.\n\nAap sunaaiye.. Kuch din baad aapke tweets nazar aaye.'
145,'@meeemalif_99 Marwah ji 
146,'@dondaniyall So sed Arhaam bhai mai aap gaarey so videos bheja dekho\n2-3 baar dekhlo phir mood theek croww apna'
147,'@Iajitdoval_ Nakli Ajit Dovel saheb aap ko national level ya world level kee baat kerni chahiye. UP is a state and you are too big for that. Kam sey kam naam kee izat tao rakh loo.'
148,'जनसंपर्क एवं डोर टू डोर अभियान- \nइसी क्रम में आज #जंगपुरा के #दरियागंजवार्ड 55S में अंसारी रोड स्थित फ्रूट मार्केट के स्थानीय लोगों से मुलाकात की और MCD चुनाव में भी अरविंद केजरीवाल जी का साथ देने की अपील की।\n@ArvindKejriwal @Aap_Praveen\n#ward55s #mcdmeinbhikejriwal https://t.co/zc6fkMS98S'
149,'@theblessedhoman aur ALLAH nah kary tum piyo yeh zulm hogaa aap k saat!'
150,'@Daiso2022 Walaikumus salaam itni safai maine to bas yehi pucha aap kon hai?'
151,@drsstiwari @eDinamani @RahulGandhi Aapko 1% bhi pata hai air India kyu biki thi?...aviation ki news raklha karo sir...agar pata hota to i'm sure yeh tweet na karte aap
152,'@chall_bayy Kisna kaha mai accha hu muj se mohabbat karo mai kabile nafrat hu aap bhi shok sa karo\nIts my answer !'
153,'@rhariomarti @Saatvikgarg @passionateparth @vinodkapri Teri aurto ka rape Karne koi aayega toh bhi Shanti ki BAAT Karna aur rapist se kehna Jo aap ji rahe hai woh vaastivik nahi paagal admi aur agar Kisi BAAT se apko hurt hua ho toh yeh vaastivik nahi hai samjh Lena 🤣🤣🤣🤣🤣'
154,"'""aap pai pyar aa raha hai humai"" United Kingdom waalo ko..\n\nitnai buzdil ho aap log..'"
155,'@vibhu_x3 @VinodSharmaView Aap sehi shikhe hain 
156,'@myogiadityanath @myogioffice Gorakhnath aur Gorakhpur se aap k saamne koi hai aisa koi janta v nhi hoga ......'
157,'そうだ、\nボク、aap-01ガスコキしたいんだった…\n|дﾟ)ﾁﾗｯ'
158,'@HarisRauf14 Jaisi world cup ma slower ones ki aap na yaha vo nazar nahi ayi. Akher kyo yahi tu unn deliveries ko mazeeed bahtar karna ka moqa tha'
159,'@aniqnaji Aap bohut ache journalist ho Aniq Naji'
160,'@Ravalkalpesh_s Woh “ Bhakt “hai to Kya 
161,'Amazing \n\nPet tracking device will help you find your pet easily. An innovation by the young entrepreneurs of Delhi’s Government school.\n@ArvindKejriwal @AamAadmiParty @AAPDelhi @MLARituraj\n\n#BusinessBlasters  #DelhiGovtSchools  https://t.co/8azEydV2TD'
162,'AAP is PAAP\n@ArvindKejriwal is JokeRSS https://t.co/pN7yBrA8Dx'
163,'@Kiran_Yusaf G or aap ki tu Kuch nhi Hoya'
164,'@SamyukthaaMenon Paas aao to maloom ho ki aap hot ho ye nahi'
165,'@ashaqeens Sir i think aap 2 saal pehle babar fan bane zara zimbabwe wale debut se hote toh manta
166,'@IMinakshiJoshi @RajeevRai Are pandit ji aap khush rahiye bjp gov to bhar bhar ke aapke channel ko paisa de rahi he aur aapko ka hike bhi kai guna raha hoga.\nBut janta ka bahot kam hogaya bahot ka rojgaar chala gaya upar se mahangaai.'
167,'Aap jaisa koi meri zindagi mei aaye\n\nRULA DETI HAI X TEJRAN'
